product_name,is_standard_number,standard_title,mandatory_or_voluntary,scheme_type,qco_reference,source_url,penalty_clause
LED Lamps for General Lighting Services,IS 16102:2012,LED Lamps for General Lighting Services,Mandatory,CRS (Compulsory Registration Scheme),"MoC Electronics & IT Goods (Requirement for Compulsory Registration) Order, 2012",https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Imprisonment up to 2 years or fine or both under BIS Act 2016 Sec 29(3)
LED Luminaires for Outdoor Lighting,IS 10322:2012,Luminaires – Safety Requirements,Mandatory,CRS (Compulsory Registration Scheme),MoC Electronics QCO,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Self-Ballasted LED Lamps,IS 16102,Self-Ballasted LED Lamps for General Lighting Services,Mandatory,CRS (Compulsory Registration Scheme),Electronics and IT Goods CRS Order,https://www.bis.gov.in/product-certification/compulsory-registration-scheme/,Fine or imprisonment under BIS Act 2016
Ceiling Fans,IS 374:2019,Ceiling Type Fans – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Power QCO for Ceiling Fans,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Toys (non-electronic),IS 9873:2017,Safety of Toys,Mandatory,ISI Mark (Scheme I),DPIIT Quality Control Order for Toys 2020,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Imprisonment up to 2 years or fine under BIS Act 2016
Electronic Toys,IS 15644:2006,Safety of Toys – Electronic Toys,Mandatory,ISI Mark (Scheme I),DPIIT QCO for Toys 2020,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
Footwear – Leather Safety Footwear,IS 15298:2016,Safety Footwear,Mandatory,ISI Mark (Scheme I),Ministry of Commerce & Industry QCO for Footwear,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Rubber Footwear (Canvas & Rubber Shoes),IS 5557:2004,All Rubber Gumboots and Half Boots for Workmen,Mandatory,ISI Mark (Scheme I),MoCI QCO for Footwear,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine under BIS Act 2016
Ordinary Portland Cement,IS 269:2015,Ordinary Portland Cement – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Commerce QCO for Cement,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Imprisonment or fine under BIS Act 2016
Portland Pozzolana Cement (Fly Ash Based),IS 1489:2015,Portland Pozzolana Cement – Specification,Mandatory,ISI Mark (Scheme I),Ministry of Commerce QCO for Cement,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/,Fine or imprisonment under BIS Act 2016
